id, , , , ,
0, 意識がありますか？,1,2,1,3, , 
1, 吐き気はありますか？,3,4,2,1, , 
2, 正常な呼吸はありますか？,5,-1,3,3, , 0:1:2:
3, 高い熱(38℃以上目安)が出ていますか？,7,8,2,2, , 
4, 息が苦しいですか？,9,10,2,1, , 
5, 脈はありますか？,11,-1,3,3, , 0:1:2:
6, ,-1,-1, , , , 
7, 正常な意識ではない状態ですか？,15,-1,3,2, , 
8, 吐いたものに血が混じっていますか？,-1,18,3,2, 0:, 
9, 急に息苦しくなりましたか？,-1,20,3,2, 0:, 
10, のどは痛いですか？,21,22,2,1, , 
11, 高い熱(38℃以上目安)が出ていますか？,-1,-1,3,3, 0:5:, 0:
12, ,-1,-1, , , , 
13, ,-1,-1, , , , 
14, ,-1,-1, , , , 
15, ろれつが回らない状態ですか？,-1,-1,3,2, , 
16, ,-1,-1, , , , 
17, ,-1,-1, , , , 
18, 強いおなかの痛みがありますか？,-1,38,3,2, 0:, 
19, ,-1,-1, , , , 
20, 泡状でピンク色の痰がたくさん出ていますか？,-1,42,3,2, 0:, 
21, つばが飲み込めないほど痛いですか？,-1,-1,3,2, , 
22, 動悸(胸のドキドキ)はしていますか？,45,46,2,2, , 
23, ,-1,-1, , , , 
24, ,-1,-1, , , , 
25, ,-1,-1, , , , 
26, ,-1,-1, , , , 
27, ,-1,-1, , , , 
28, ,-1,-1, , , , 
29, ,-1,-1, , , , 
30, ,-1,-1, , , , 